,加油日期,車牌號碼,實際會去的加油站,記錄時間點,加油公升數
5404,2017/12/3,ZH-7205,47,16:12,39.95176885
14749,2017/12/3,AM-7769,46,21:21,32.65259887
11927,2017/12/3,VI-6952,56,05:45,23.71396277
2927,2017/12/3,NR-4967,23,23:19,34.80317915
62721,2017/12/3,LZ-9866,48,15:04,28.98781657
12414,2017/12/3,RT-4517,7,15:07,23.82334749
9495,2017/12/3,UC-2306,18,08:48,30.27892979
67861,2017/12/3,TR-8491,19,06:51,28.66678419
731,2017/12/3,TH-6099,23,10:24,33.42501063
7151,2017/12/3,OB-5970,48,11:36,24.12362365
1154,2017/12/3,ZA-5199,32,21:56,36.11564779
114551,2017/12/3,HU-7373,49,00:11,28.33632673
4932,2017/12/3,CW-8366,54,14:35,25.77654242
7022,2017/12/3,UA-6577,12,07:56,22.07310124
76081,2017/12/3,YX-8043,11,19:05,17.30433551
14471,2017/12/3,CV-5201,24,13:42,37.10943431
9701,2017/12/3,XM-9798,5,19:30,32.41948827
36912,2017/12/3,RN-4072,57,11:38,29.55068985
9461,2017/12/3,MG-8327,9,19:50,37.24759381
14624,2017/12/3,LH-1979,5,18:15,30.89100982
4647,2017/12/3,PT-6980,30,05:37,28.54535132
139071,2017/12/3,LT-8030,43,14:36,32.27568761
7931,2017/12/3,QX-5604,16,06:03,30.39216357
88861,2017/12/3,EY-8702,1,12:01,27.3671953
10592,2017/12/3,HJ-3878,13,12:26,36.53187798
92341,2017/12/3,BX-6636,29,03:01,27.7909959
12911,2017/12/3,EI-2678,49,20:28,25.09804765
4380,2017/12/3,IM-5481,15,09:35,28.26408211
51091,2017/12/3,BW-6063,33,08:26,26.2325962
475,2017/12/3,MD-9605,16,04:02,35.44388561
73441,2017/12/3,GD-9731,12,17:06,24.37391714
8973,2017/12/3,AA-6083,56,03:04,32.84464635
7213,2017/12/3,XO-6590,38,02:11,33.30118016
146131,2017/12/3,LM-6073,1,06:37,26.77976176
7543,2017/12/3,LX-5564,14,12:21,34.10845073
4508,2017/12/3,MJ-8599,35,05:11,33.38141053
4135,2017/12/3,GT-2784,40,19:49,30.06971317
5281,2017/12/3,DE-3703,6,18:19,28.76318147
5718,2017/12/3,XX-3218,30,04:46,30.57087703
2381,2017/12/3,AZ-8279,6,01:38,25.02336569
3038,2017/12/3,FG-2615,23,12:12,34.22413791
6611,2017/12/3,TK-5032,44,20:08,31.2530639
12036,2017/12/3,NN-4025,41,09:21,27.7033921
5263,2017/12/3,ZW-6608,58,19:58,39.53548505
1921,2017/12/3,CT-8352,47,22:27,21.13321521
98021,2017/12/3,KQ-6112,8,04:36,33.94515564
27591,2017/12/3,IM-2252,11,06:00,30.71907937
136121,2017/12/3,TP-6528,22,23:45,32.90917659
81781,2017/12/3,LK-7841,55,08:37,22.95511496
7246,2017/12/3,XI-6905,6,04:38,26.4249092
4282,2017/12/3,LB-4993,13,12:53,28.07015346
10089,2017/12/3,RM-3923,16,02:00,27.74965486
7754,2017/12/3,QB-9133,43,04:29,26.92901676
13884,2017/12/3,NM-6135,51,03:44,37.0022666
55242,2017/12/3,MG-1165,58,16:12,32.96043481
125981,2017/12/3,BE-6983,9,17:47,28.48718106
3024,2017/12/3,XN-3146,41,11:00,30.47886176
8272,2017/12/3,NS-2190,7,11:16,35.63816199
101831,2017/12/3,TQ-8098,41,19:33,26.71099594
113811,2017/12/3,MH-1770,19,04:12,31.70030827
89222,2017/12/3,BH-4630,1,16:52,30.5790974
8620,2017/12/3,NZ-9465,38,17:43,41.33286112
14483,2017/12/3,OG-7984,41,08:37,27.19683313
13624,2017/12/3,JN-8285,6,21:34,33.37102926
12166,2017/12/3,AF-3973,36,23:14,34.57703531
14803,2017/12/3,LT-4025,2,07:35,27.97460053
5859,2017/12/3,RA-8239,50,10:12,34.32527198
33301,2017/12/3,TT-2443,7,15:54,33.52972973
14137,2017/12/3,OR-2125,42,15:46,30.27647303
3398,2017/12/3,NV-5104,36,14:45,26.05122142
14910,2017/12/3,EP-5696,51,00:17,33.87024364
2348,2017/12/3,TO-7355,7,23:11,27.77415812
14495,2017/12/3,OA-3772,3,03:34,31.96850172
5627,2017/12/3,WQ-6976,9,17:19,27.22796887
13111,2017/12/3,BP-9615,23,21:16,26.97754187
12015,2017/12/3,QF-8743,26,23:32,29.32255172
5241,2017/12/3,RG-1316,53,11:39,36.46986849
6459,2017/12/3,AL-6138,58,11:44,32.6861006
4799,2017/12/3,WW-7878,18,04:17,32.0114532
1109,2017/12/3,LN-9637,1,00:01,32.43025328
59311,2017/12/3,FI-4116,55,11:35,32.9622373
10433,2017/12/3,WV-1905,17,08:55,35.51170635
7274,2017/12/3,TC-6291,5,16:26,19.42053368
115181,2017/12/3,DP-2886,38,10:55,26.08691886
14684,2017/12/3,AU-7303,34,22:31,34.60901817
1445,2017/12/3,ZF-5581,23,23:27,31.71932491
4383,2017/12/3,CN-4976,43,09:21,29.1198535
79211,2017/12/3,VT-7786,7,08:18,30.51359099
105321,2017/12/3,MJ-2062,16,22:33,27.88346197
5356,2017/12/3,FD-9679,23,16:04,21.66502969
30951,2017/12/3,AR-9608,57,11:25,27.91662933
6719,2017/12/3,DF-3506,48,16:05,27.20936732
71202,2017/12/3,CJ-9207,57,07:37,25.28036349
4343,2017/12/3,TL-3033,55,17:38,23.01784612
6285,2017/12/3,WZ-4062,39,14:11,30.3176046
10770,2017/12/3,UL-2413,29,11:30,23.33383635
75861,2017/12/3,IJ-6093,41,20:15,19.87266977
37101,2017/12/3,WZ-9861,29,20:18,35.5640634
1105,2017/12/3,LW-8936,14,18:22,30.37100802
14317,2017/12/3,IE-4005,51,05:45,23.43244137
4920,2017/12/3,VP-7344,17,03:03,28.30946911
4455,2017/12/3,YF-5771,24,23:57,27.88200031
33901,2017/12/3,RP-7447,35,07:34,25.89759909
4456,2017/12/3,QN-7202,3,17:48,31.40097994
107361,2017/12/3,QT-4346,3,12:32,34.03931357
6230,2017/12/3,LA-8253,26,16:54,29.03336728
3518,2017/12/3,OP-1512,6,18:34,35.45827956
6392,2017/12/3,MR-7538,13,13:07,27.27298529
78791,2017/12/3,RN-8901,36,16:23,34.19728163
8777,2017/12/3,EB-4482,38,01:54,28.2024317
8934,2017/12/3,XP-5491,57,02:07,31.86568115
35641,2017/12/3,YY-4596,55,10:15,18.75997322
4093,2017/12/3,GW-5567,40,23:19,32.09526642
13590,2017/12/3,FY-7032,52,05:44,29.0758738
9270,2017/12/3,VI-4879,46,08:33,32.60944483
5816,2017/12/3,VQ-4638,58,10:20,26.2408332
5172,2017/12/3,CD-3846,29,08:45,31.49382321
1869,2017/12/3,MK-4274,36,10:11,33.97340745
47811,2017/12/3,VA-9689,57,10:56,29.11195447
184,2017/12/3,JQ-2661,54,06:49,23.51926851
1401,2017/12/3,QS-3119,24,10:27,33.27977395
14222,2017/12/3,VO-5554,31,21:01,23.66260232
13452,2017/12/3,QY-4277,1,21:16,26.68868282
28221,2017/12/3,BC-7984,57,17:45,33.29609539
6657,2017/12/3,PV-1497,22,10:29,33.14617206
181,2017/12/3,EM-5288,1,18:37,26.335494
76481,2017/12/3,EA-3699,33,00:18,31.44702978
8807,2017/12/3,HM-1411,38,14:00,37.17984686
1629,2017/12/3,IK-7807,19,17:46,28.42431419
5497,2017/12/3,TJ-1770,35,04:34,27.77279326
41701,2017/12/3,AK-5379,17,12:58,32.40127217
28551,2017/12/3,PX-6673,10,14:53,32.09532349
27432,2017/12/3,JW-6830,22,23:49,35.04271083
9242,2017/12/3,NL-6280,55,03:42,29.82558827
6990,2017/12/3,KF-5991,4,06:19,32.1417522
1178,2017/12/3,BE-6898,5,09:00,35.21411501
108271,2017/12/3,AO-9441,58,02:07,28.90927925
6895,2017/12/3,OM-4845,18,02:01,36.81251335
14110,2017/12/3,DX-3902,27,19:50,30.97016894
134361,2017/12/3,TL-6387,32,16:13,31.3785667
7521,2017/12/3,VD-4412,22,08:34,31.4883825
13375,2017/12/3,JM-1263,35,02:41,25.30929953
73061,2017/12/3,DV-6676,55,15:52,31.2262987
11345,2017/12/3,BL-3940,42,12:49,35.92634264
13889,2017/12/3,WM-7256,18,19:44,30.57478756
9788,2017/12/3,OH-1302,47,00:36,26.01987779
68021,2017/12/3,RI-9275,38,03:05,25.23027979
9239,2017/12/3,BM-8075,16,04:11,35.42849599
1370,2017/12/3,AS-8150,13,01:45,29.98176106
12679,2017/12/3,QV-8549,13,15:43,25.86893005
4023,2017/12/3,RT-3946,53,04:00,33.05700351
122251,2017/12/3,RX-5302,1,11:53,29.57085621
10614,2017/12/3,ER-2474,36,20:09,29.56002335
65661,2017/12/3,DC-4174,52,08:23,27.12767071
5913,2017/12/3,GR-6484,9,23:41,34.20796805
80991,2017/12/3,XW-7663,52,12:24,31.70630606
9782,2017/12/3,YG-2013,27,11:37,33.56414535
1164,2017/12/3,CM-3358,42,12:30,38.79723891
87681,2017/12/3,NR-1520,21,12:02,29.91245718
7404,2017/12/3,NM-6523,53,20:41,26.48185683
11180,2017/12/3,XA-3693,21,00:15,30.20735057
8379,2017/12/3,SK-2628,8,17:13,32.44969477
6119,2017/12/3,UF-5011,56,15:11,31.69752944
2786,2017/12/3,FY-4507,11,18:54,32.45806085
14886,2017/12/3,OV-1131,6,23:40,28.44079862
8425,2017/12/3,AM-5200,4,13:06,30.16405934
762,2017/12/3,KR-3355,46,14:52,38.16799716
34121,2017/12/3,JK-8640,58,13:14,29.52688682
21171,2017/12/3,IR-9242,7,14:56,34.17860178
14015,2017/12/3,SN-7380,44,20:36,32.52655422
12453,2017/12/3,EI-9265,32,06:55,26.95104212
11668,2017/12/3,PE-5923,29,04:37,32.7900252
2842,2017/12/3,HO-3936,17,16:07,30.59202526
131941,2017/12/3,LG-7644,16,14:10,32.3605362
124881,2017/12/3,WN-8343,6,12:29,33.52935992
14728,2017/12/3,WK-2096,19,08:42,33.02845578
5950,2017/12/3,NF-5985,53,21:17,31.88449419
9104,2017/12/3,TN-2884,39,03:28,31.53472544
56601,2017/12/3,YW-5138,56,07:22,38.89406004
2444,2017/12/3,SE-8071,49,08:05,39.4960046
12232,2017/12/3,AE-3941,3,08:16,33.79661695
10402,2017/12/3,RA-1930,40,00:59,27.77276487
4495,2017/12/3,LH-6558,43,22:41,31.55597194
44901,2017/12/3,ON-1857,29,18:57,30.87505941
135922,2017/12/3,JA-9714,54,21:38,24.45146077
14076,2017/12/3,AC-9852,5,03:29,37.23620261
6893,2017/12/3,HB-7872,33,16:39,24.96777658
13842,2017/12/3,FF-5094,34,19:40,33.96759151
1081,2017/12/3,FV-9434,30,18:33,30.1674735
117461,2017/12/3,IC-2274,45,05:52,32.47417661
8687,2017/12/3,CI-3699,16,14:21,35.23358388
85671,2017/12/3,PE-4918,41,19:20,26.245317
135291,2017/12/3,TH-9444,6,08:03,24.57636218
87521,2017/12/3,VG-5857,50,05:41,29.935707
3102,2017/12/3,DU-9462,57,16:50,31.32289806
109101,2017/12/3,PN-2939,22,12:59,32.37506573
10030,2017/12/3,QN-7530,25,21:56,29.77932374
4549,2017/12/3,DT-5402,33,14:58,31.22940288
9443,2017/12/3,TL-9982,32,18:49,32.91551597
14063,2017/12/3,HJ-9402,47,21:37,30.71246767
127,2017/12/3,DQ-5153,35,02:34,30.31602563
43251,2017/12/3,BV-8028,53,10:47,28.25910153
3921,2017/12/3,XH-6111,57,10:46,25.47593654
10459,2017/12/3,CY-7105,44,18:52,39.74349391
54941,2017/12/3,WJ-3106,7,15:27,27.91894864
3108,2017/12/3,AH-9766,20,09:01,30.76885437
2414,2017/12/3,ML-7957,14,00:50,33.03668885
9432,2017/12/3,ZU-4818,17,03:00,33.27899097
119251,2017/12/3,UP-1878,26,15:13,33.86035389
7491,2017/12/3,AO-7876,20,15:18,32.86843613
3839,2017/12/3,TW-1703,1,04:47,27.3364393
6477,2017/12/3,TS-9669,30,07:46,35.57585016
8116,2017/12/3,OC-9913,24,19:40,22.34381724
13271,2017/12/3,YR-8641,2,07:58,30.14760682
147241,2017/12/3,AG-2624,4,21:26,23.82353483
49871,2017/12/3,NH-4780,47,00:43,26.83870463
7196,2017/12/3,HR-1549,39,22:12,28.66955928
10281,2017/12/3,ZT-8102,48,09:34,35.96237809
75941,2017/12/3,JC-1462,31,22:03,32.71727388
11593,2017/12/3,DL-7346,27,20:30,27.08754152
8317,2017/12/3,YM-2708,41,09:49,27.90587439
10872,2017/12/3,AE-4482,37,11:15,24.93659968
11430,2017/12/3,TW-5374,22,22:23,30.3360622
6576,2017/12/3,KS-1737,11,20:41,27.78184003
8465,2017/12/3,WS-8816,30,15:59,31.81712381
37811,2017/12/3,MK-1537,14,05:17,37.54919205
78641,2017/12/3,LC-1248,9,14:02,31.36980255
738,2017/12/3,VF-6425,54,07:25,24.43339616
3161,2017/12/3,OM-1909,57,06:21,22.87103556
451,2017/12/3,JU-9674,27,16:15,32.79939533
118171,2017/12/3,DQ-2286,56,15:07,32.27561566
11228,2017/12/3,BM-4636,33,17:38,29.70288595
9666,2017/12/3,KH-6973,8,17:03,26.40245998
36541,2017/12/3,JF-5226,26,20:27,39.58675886
2330,2017/12/3,VV-2922,55,01:44,36.1907961
3429,2017/12/3,BI-2377,20,23:16,30.28824676
14813,2017/12/3,CM-8701,6,14:30,18.88459334
5563,2017/12/3,QT-9881,49,08:26,34.99380009
89451,2017/12/3,CI-9749,49,13:46,24.14810419
11172,2017/12/3,OQ-2048,29,03:40,34.19942323
4575,2017/12/3,MW-9834,25,13:46,26.0904482
13120,2017/12/3,FG-2211,40,15:57,32.67375882
14890,2017/12/3,NS-5867,52,00:40,21.42347756
8714,2017/12/3,OL-8347,33,20:36,37.03464423
2123,2017/12/3,GB-6437,7,10:18,28.48297383
4963,2017/12/3,LC-3373,33,23:38,31.78803274
115681,2017/12/3,OL-3990,47,08:25,25.43008963
7559,2017/12/3,ZF-6509,57,03:58,34.81459153
37961,2017/12/3,RX-7809,40,08:17,27.6708118
10358,2017/12/3,GC-2579,57,00:40,27.00454486
14232,2017/12/3,DQ-6090,5,08:26,37.3128629
7206,2017/12/3,LE-5022,12,06:20,31.34620451
48331,2017/12/3,UC-8886,41,02:52,32.47041936
12062,2017/12/3,YP-6611,8,14:00,28.90206757
6641,2017/12/3,EM-3057,53,19:24,29.76877141
10629,2017/12/3,OA-3248,16,13:57,32.16667696
9190,2017/12/3,HX-7758,24,16:06,23.72534418
34741,2017/12/3,XG-7468,24,11:06,32.22765384
6810,2017/12/3,HD-6547,31,14:21,33.69679874
97851,2017/12/3,IJ-4340,25,09:32,30.3207094
6389,2017/12/3,TP-8546,48,07:09,38.24203529
40051,2017/12/3,JU-6439,17,17:33,27.99224554
6577,2017/12/3,LB-2122,35,10:49,31.45904452
47581,2017/12/3,SP-1711,30,02:25,34.64218656
2583,2017/12/3,HF-5174,6,08:51,34.34360706
98751,2017/12/3,CT-6438,51,19:29,29.60083281
4310,2017/12/3,ZS-2338,8,18:43,27.6615168
11426,2017/12/3,EA-2737,21,00:27,23.92343527
108441,2017/12/3,UV-3298,49,21:38,26.0010524
111151,2017/12/3,VM-8995,8,03:45,29.14694778
11778,2017/12/3,HG-1774,36,21:48,38.90114621
63391,2017/12/3,LD-4374,15,00:19,25.76000359
11333,2017/12/3,OS-2798,11,09:42,31.05580595
94791,2017/12/3,HL-1257,37,03:28,29.86167414
1018,2017/12/3,WY-4432,57,16:49,25.57813013
9834,2017/12/3,WK-6059,1,13:38,30.27625234
76851,2017/12/3,LS-4731,29,04:54,36.23582761
126801,2017/12/3,HL-4201,19,04:50,27.79766987
4842,2017/12/3,ZJ-2123,10,05:36,25.53987326
1092,2017/12/3,LE-9023,51,18:22,28.85322552
11885,2017/12/3,YB-2957,1,10:46,31.6638926
103691,2017/12/3,VT-4078,55,05:11,30.13367701
85601,2017/12/3,VD-3280,25,19:56,29.19282411
50391,2017/12/3,IK-4722,8,10:30,31.81929129
14153,2017/12/3,KW-9627,13,04:57,33.00965044
110381,2017/12/3,SJ-9531,53,19:02,35.16834862
7673,2017/12/3,FZ-7123,53,18:20,31.72134367
11840,2017/12/3,PG-2429,19,10:04,26.72693548
203,2017/12/3,WR-5410,32,19:07,29.22718607
4061,2017/12/3,YU-8977,57,09:59,27.70280304
2181,2017/12/3,LU-8033,35,01:58,27.6720985
12078,2017/12/3,BO-4406,43,21:36,25.42822833
12640,2017/12/3,BV-9212,55,10:38,32.34962617
63941,2017/12/3,GI-3490,27,23:57,32.78777635
4753,2017/12/3,OF-5261,2,21:38,33.88527179
3973,2017/12/3,IT-5448,24,20:34,31.78209555
11779,2017/12/3,LH-7216,23,04:34,33.65280029
9218,2017/12/3,MR-7142,28,03:54,30.89840161
13228,2017/12/3,BJ-8059,37,02:13,31.82891017
11781,2017/12/3,MY-2879,3,22:40,35.60643926
85,2017/12/3,MH-3087,22,03:14,25.80515078
4675,2017/12/3,EY-8170,33,07:51,19.55480347
27001,2017/12/3,XK-1786,47,08:42,37.0962415
5392,2017/12/3,PO-6350,8,00:40,26.48055787
115371,2017/12/3,BU-9806,30,20:03,28.22421762
6220,2017/12/3,MS-6908,16,20:55,30.38867395
14527,2017/12/3,ST-8203,55,18:54,26.9542441
556,2017/12/3,YG-1984,41,08:47,27.81183382
17911,2017/12/3,XX-7153,8,16:28,35.99699493
8834,2017/12/3,XB-3073,45,17:36,28.67730052
3587,2017/12/3,GV-6463,47,03:37,27.30630051
2029,2017/12/3,JX-7870,10,08:11,31.04501921
921,2017/12/3,AJ-2576,46,08:01,27.47038086
1171,2017/12/3,BW-4899,10,18:17,29.20447327
9607,2017/12/3,CQ-9127,18,15:53,29.92761764
131861,2017/12/3,WE-9790,43,08:14,31.64202334
14670,2017/12/3,ZD-2936,5,00:31,33.65481662
10927,2017/12/3,UM-2267,8,14:30,28.09831624
1399,2017/12/3,BN-6291,49,04:19,27.05478415
9297,2017/12/3,FS-9564,9,23:48,37.56334999
12605,2017/12/3,ZN-3514,27,05:54,28.2258031
26701,2017/12/3,GN-4027,42,02:09,34.7688749
11059,2017/12/3,XO-6038,25,06:39,27.04758495
7201,2017/12/3,BQ-6584,19,00:54,32.23327801
57351,2017/12/3,AJ-2134,25,02:15,25.89429189
1697,2017/12/3,ZZ-8689,9,07:58,22.12323879
124671,2017/12/3,FY-9773,31,14:54,30.26463101
25291,2017/12/3,WJ-6169,25,17:18,29.14379924
2322,2017/12/3,WN-9747,23,00:59,33.73650569
113691,2017/12/3,PY-7418,17,00:12,28.52323548
14793,2017/12/3,UR-5097,19,19:20,32.45356187
10753,2017/12/3,IW-4725,53,08:23,29.26944439
102131,2017/12/3,YK-7977,12,00:41,25.87309076
14231,2017/12/3,FG-2756,27,08:45,23.99353753
7887,2017/12/3,UJ-3398,12,05:34,35.62724729
1093,2017/12/3,UG-8543,6,19:41,32.68460134
13023,2017/12/3,MA-5614,44,06:48,31.45398766
8929,2017/12/3,NI-4715,6,06:27,28.66541746
35821,2017/12/3,BU-8337,6,09:30,30.84015204
5045,2017/12/3,AK-2057,2,21:04,24.91620117
11684,2017/12/3,KZ-9811,46,13:06,36.86949289
14007,2017/12/3,RM-8949,29,10:54,35.14554338
7172,2017/12/3,HN-2864,9,11:08,28.78393617
131911,2017/12/3,VU-9006,40,19:07,32.77310958
13945,2017/12/3,RT-5766,26,12:24,25.28118979
5890,2017/12/3,NM-4519,52,00:40,26.49258848
6702,2017/12/3,KY-9941,47,14:20,39.89863591
9224,2017/12/3,RT-7274,49,08:40,28.10958456
3414,2017/12/3,GM-5205,27,13:42,34.63138107
13844,2017/12/3,BB-9828,34,14:15,29.93407116
10882,2017/12/3,IF-7548,14,13:32,36.63979249
5891,2017/12/3,ET-6174,25,09:57,31.12151741
44541,2017/12/3,PV-2172,28,04:22,31.60136082
6349,2017/12/3,GE-3061,26,14:46,26.93917498
2112,2017/12/3,QO-5509,7,19:51,29.17393226
6173,2017/12/3,TQ-3012,26,03:44,28.2604955
126491,2017/12/3,UH-8843,25,06:52,23.3996216
8459,2017/12/3,PC-6702,53,11:54,22.82553028
14780,2017/12/3,RW-2639,11,18:10,30.00896978
13339,2017/12/3,WI-1122,35,20:34,26.41713054
7263,2017/12/3,VY-8210,4,17:19,29.10018697
67711,2017/12/3,XW-3380,58,20:45,23.44493259
10879,2017/12/3,XM-5233,12,13:15,32.47751417
1567,2017/12/3,PJ-7254,21,22:21,31.22747476
13310,2017/12/3,BO-9953,5,17:24,28.00487409
7718,2017/12/3,NS-9079,44,01:20,31.74217555
158,2017/12/3,OQ-4924,21,16:19,33.00661043
2082,2017/12/3,QO-7576,56,05:10,24.80954676
13839,2017/12/3,RL-2567,5,23:00,32.27944534
12267,2017/12/3,PS-8260,28,06:08,33.74417097
42131,2017/12/3,OU-6498,42,23:37,27.39096344
9023,2017/12/3,HE-3999,48,12:12,24.56410734
123731,2017/12/3,DD-2029,4,03:36,28.84206896
14751,2017/12/3,OO-2670,29,23:06,33.07231195
8730,2017/12/3,DS-3688,49,19:39,27.80031931
17881,2017/12/3,UB-1869,44,15:21,26.09114484
4990,2017/12/3,IA-2041,38,16:23,31.86171051
8788,2017/12/3,OS-1983,57,02:46,24.25940772
9015,2017/12/3,FY-7869,45,02:36,30.09927083
376,2017/12/3,LV-9883,40,11:50,30.35279674
34191,2017/12/3,AF-1172,21,10:05,29.41488127
2945,2017/12/3,GF-5450,54,21:25,30.08995623
2845,2017/12/3,LH-1561,14,09:14,28.47886134
14237,2017/12/3,UR-3982,58,21:57,39.40595852
6255,2017/12/3,PI-9855,2,00:18,27.94533321
12690,2017/12/3,KJ-2630,10,19:05,26.31795132
2541,2017/12/3,TK-8759,34,17:19,33.4890354
5184,2017/12/3,UO-7127,39,05:38,26.59157516
4915,2017/12/3,RV-8577,37,22:42,24.43538903
2460,2017/12/3,IC-8733,56,18:26,28.17463101
5969,2017/12/3,HL-1554,11,18:49,25.30857846
52421,2017/12/3,UW-1272,56,19:27,33.35182665
13988,2017/12/3,IU-3285,4,14:33,35.08891587
7096,2017/12/3,VO-1468,46,14:24,38.95362552
9308,2017/12/3,IN-8004,38,03:36,29.4016152
14918,2017/12/3,XS-7820,5,16:55,32.38443487
74841,2017/12/3,YQ-2849,42,12:30,35.36444253
132021,2017/12/3,JQ-1011,31,12:43,35.44566079
3766,2017/12/3,MH-9072,21,04:12,31.97890407
10783,2017/12/3,TF-6482,28,06:37,25.6564152
2351,2017/12/3,DV-7229,18,08:04,30.28087437
6056,2017/12/3,XH-3671,28,13:31,25.93041073
12880,2017/12/3,PG-5498,18,16:43,27.08291835
8717,2017/12/3,SV-7545,28,03:17,31.36181295
3388,2017/12/3,IZ-6813,29,11:30,25.85251654
4408,2017/12/3,BJ-1531,47,09:06,29.26688872
9010,2017/12/3,SW-3046,45,12:40,34.36415988
597,2017/12/3,AV-8389,46,18:50,36.92693696
13762,2017/12/3,OD-4376,21,00:26,26.35524003
35041,2017/12/3,HM-6978,17,05:58,24.61755081
84771,2017/12/3,BT-6033,17,03:30,41.82497963
3120,2017/12/3,YK-3639,30,12:31,29.46530411
81452,2017/12/3,WJ-9997,20,15:40,34.10534344
9471,2017/12/3,CA-7675,2,19:32,32.15942708
33531,2017/12/3,HX-6083,54,10:47,33.68216032
5717,2017/12/3,GL-2990,25,03:01,31.25266472
24651,2017/12/3,CY-8951,17,01:46,36.78316992
136202,2017/12/3,UQ-7037,3,05:09,30.00650054
833,2017/12/3,TW-3117,34,22:47,28.54680156
11782,2017/12/3,BP-6071,39,13:35,29.50533074
19381,2017/12/3,QW-7679,10,18:59,27.37844912
10111,2017/12/3,QE-6486,54,07:43,33.22924625
7736,2017/12/3,DX-5857,32,21:46,29.03233529
1426,2017/12/3,IP-4160,32,12:27,34.55439237
910,2017/12/3,XR-2042,54,00:31,28.5323254
14484,2017/12/3,FP-2093,9,03:07,31.35765081
8440,2017/12/3,IJ-9179,3,20:21,36.31313045
120051,2017/12/3,NO-9202,26,19:37,32.97173283
103381,2017/12/3,DB-5068,43,07:22,37.23062743
9961,2017/12/3,BV-6604,36,18:57,31.81310415
12601,2017/12/3,CL-3110,38,00:06,28.28580411
13990,2017/12/3,NO-1142,28,09:47,22.2573362
7174,2017/12/3,BA-8631,41,14:17,34.94525801
14946,2017/12/3,PD-6855,34,11:47,33.11940035
5616,2017/12/3,GG-6881,26,16:49,30.50883862
7331,2017/12/3,TZ-4297,22,06:29,26.62820935
80061,2017/12/3,YA-8916,43,02:23,30.45056191
23421,2017/12/3,TY-8071,10,23:58,27.46308261
86621,2017/12/3,IA-5694,35,23:16,31.10162746
5188,2017/12/3,FE-8008,24,02:01,30.45726242
4646,2017/12/3,PI-3850,10,14:16,31.02099552
2637,2017/12/3,EZ-7543,35,03:16,26.29921652
13401,2017/12/3,QI-8528,30,04:41,29.37532565
27921,2017/12/3,QQ-6887,25,11:32,33.68033068
14921,2017/12/3,ZM-8728,12,11:40,36.18123508
4259,2017/12/3,AJ-3353,35,07:13,30.09756319
3593,2017/12/3,LI-8306,55,04:00,34.93725788
7252,2017/12/3,EY-7123,53,08:31,27.66702428
8447,2017/12/3,VF-3854,15,19:39,30.36289876
41321,2017/12/3,CZ-8068,3,23:33,29.66695218
98,2017/12/3,WB-8134,26,15:14,32.2044618
41331,2017/12/3,OM-2332,22,17:04,20.04060297
57161,2017/12/3,PE-9001,48,04:08,28.36096819
135211,2017/12/3,UV-4824,41,18:34,32.453053
5517,2017/12/3,IJ-3611,9,00:14,32.59879902
33481,2017/12/3,NP-1577,39,22:18,23.57839627
148101,2017/12/3,II-4426,39,13:26,31.06199759
1369,2017/12/3,WQ-8876,11,14:08,28.73988057
40801,2017/12/3,KZ-1681,22,18:24,36.52372753
5492,2017/12/3,EL-8209,28,00:05,28.15798473
13917,2017/12/3,QN-6569,43,01:54,30.34826286
9333,2017/12/3,EK-3455,35,07:38,25.85484868
370,2017/12/3,ZR-4993,32,11:14,32.39463418
4185,2017/12/3,GI-2094,1,13:18,29.13438616
2382,2017/12/3,ON-1707,28,17:15,28.30561359
10960,2017/12/3,LX-6052,39,04:08,25.55620373
4607,2017/12/3,ON-8048,29,21:56,35.62634328
6222,2017/12/3,IL-8224,17,19:46,25.65350235
2640,2017/12/3,UJ-5896,20,01:26,26.69400062
79161,2017/12/3,HU-6433,9,11:00,32.33549603
53781,2017/12/3,BV-7031,28,15:01,26.98285479
4473,2017/12/3,MC-4088,23,00:03,26.77392203
7850,2017/12/3,EG-2203,40,03:55,22.96550201
5410,2017/12/3,AV-3222,52,03:38,30.67778675
11739,2017/12/3,CP-3161,19,03:09,30.62614387
15881,2017/12/3,QV-7037,27,20:04,35.41770804
141281,2017/12/3,YD-2734,28,08:41,27.661736
140561,2017/12/3,QR-4835,53,08:32,27.52389764
128911,2017/12/3,YL-1874,57,09:44,34.10318646
8653,2017/12/3,LA-5972,5,06:45,29.0655955
13153,2017/12/3,JS-4275,45,15:19,28.48335984
95381,2017/12/3,II-3372,11,10:15,26.68758574
12216,2017/12/3,XI-4188,30,10:10,29.54801241
7610,2017/12/3,ID-2195,22,18:35,30.74018478
6462,2017/12/3,ZC-8922,11,05:46,27.45385607
9945,2017/12/3,SA-8502,31,04:21,27.10335704
42731,2017/12/3,FS-6249,55,13:40,27.99782229
49102,2017/12/3,HH-5940,52,01:50,31.09435097
1514,2017/12/3,QT-8037,47,06:50,34.71174571
24881,2017/12/3,UC-3112,35,16:39,29.88239068
7158,2017/12/3,GW-5162,34,01:24,35.70604191
5840,2017/12/3,HI-5748,29,13:23,30.61085902
14034,2017/12/3,MM-2029,41,17:46,27.11533454
13397,2017/12/3,YF-7264,30,23:05,31.02598557
11388,2017/12/3,WS-1441,54,12:49,32.35049619
89141,2017/12/3,UV-8435,22,18:35,28.50062577
1744,2017/12/3,XD-1260,26,22:05,30.76315813
